state_abbrev,year,earthquake_count,max_magnitude,log_seismic_energy
PA,2019,1,3.44,11.881345998135053
OH,2019,1,4.0,13.815511557963774
TN,2019,2,3.69,13.03083972948125
AL,2019,2,3.1,11.400179056525303
NY,2019,1,3.04,10.499815565960601
MD,2019,1,4.6,15.887837267551447
MS,2019,1,3.7,12.779350084495915
WA,2020,6,3.42,12.90017315731206
KS,2020,14,4.5,15.752593941690227
MN,2020,45,3.4,14.641355423945292
NV,2020,496,5.3,20.28725618736604
WY,2020,118,3.7,16.293109264862206
OK,2020,36,4.2,15.59907668093636
CO,2020,4,4.6,16.11968918969224
UT,2020,50,5.7,19.78681792564748
ID,2020,287,6.5,22.46616235622296
TX,2020,52,5.0,17.419179071788143
CA,2020,8,4.3,15.163828418434528
MT,2020,22,3.9,14.487166360976817
ME,2020,1,3.0,10.361664540749818
SD,2020,1,3.2,11.052424295177753
NM,2020,34,3.7,14.820743919571306
OR,2020,4,3.53,12.77337537912855
MA,2020,1,3.6,12.43396348323163
AZ,2020,4,3.4,12.587516587503204
NJ,2020,1,3.1,10.70704306938311
AL,2020,1,3.8,13.124737025326382
AR,2020,1,3.6,12.43396348323163
MI,2020,1,3.2,11.052424295177753
NC,2020,1,5.1,17.61477598379166
TN,2020,2,3.8,13.219005856045648
NY,2020,1,3.1,10.70704306938311
WY,2021,107,4.0,16.163284350388665
NM,2021,123,4.5,17.37228539086012
MT,2021,32,3.6,14.581732242670572
MN,2021,35,3.4,14.237992266630668
TX,2021,97,4.6,17.244451164679113
SC,2021,2,3.3,12.040482569780597
KS,2021,28,4.3,15.784361397615223
CA,2021,6,4.7,16.39293077378342
ID,2021,69,4.2,16.355165505653517
NV,2021,70,4.7,17.385070686220313
AL,2021,1,3.1,10.70704306938311
UT,2021,15,3.65,14.23255881455413
AZ,2021,3,3.3,12.016226225615357
OH,2021,1,3.04,10.499815565960601
WA,2021,5,3.78,13.422673351594394
OK,2021,27,4.2,16.044916972794017
MO,2021,1,4.0,13.815511557963774
TN,2021,4,4.3,14.910576758444469
CO,2021,6,4.6,16.53508361582884
FL,2021,3,3.9,14.568735553529013
IL,2021,1,3.82,13.193814444941284
OR,2021,2,3.94,13.788299733953272
NE,2021,2,3.7,12.89792586039917
LA,2021,2,3.2,11.458675288044788
SD,2021,2,3.4,12.046853561985449
NV,2022,54,4.7,16.96876143946544
WY,2022,135,3.93,16.14186779318769
NM,2022,119,4.9,18.016149079816593
TX,2022,116,5.4,19.25305315931691
ID,2022,26,3.8,14.71032858567705
OK,2022,15,4.5,15.684263002233374
MT,2022,21,4.22,15.151895566209589
KS,2022,7,3.5,12.960149633537753
CA,2022,7,3.9,14.071790682663075
